date,symbol,eps,epsEstimated,time,revenue,revenueEstimated,fiscalDateEnding,updatedFromDate
2018-01-31,TTEK,0.65,0.53,amc,759749000.0,444221538.46153843,2017-12-30,2023-09-29
2018-01-31,6301.T,56.51,47.93,bmo,671981000000.0,,2017-10-31,2023-10-17
2018-01-31,5261.T,-54.04,,bmo,5123091000.0,,2017-10-31,2023-10-17
2018-01-31,SSVFF,-0.00491,,bmo,,,2018-01-31,2023-10-12
2018-01-31,LFUS,1.81,1.67,bmo,304849000.0,282908287.29281765,2017-12-29,2023-09-29
2018-01-31,4547.T,78.07,,bmo,17815000000.0,,2017-10-31,2023-10-17
2018-01-31,ERIC,-0.14,-0.09366000000000001,bmo,57199000000.0,47189174998.5,2017-12-31,2023-09-29
2018-01-31,5989.T,85.11,,bmo,44629000000.0,,2017-10-31,2023-10-17
2018-01-31,BSMX,0.18,0.19,amc,18577000000.0,647684210.0,2017-12-30,2023-09-29
2018-01-31,7196.T,20.21,,bmo,2074204000.0,,2018-01-31,2023-10-17
2018-01-31,STHZ.CN,-0.05305000000000001,,bmo,,,2018-01-31,2023-10-16
2018-01-31,FGA.PA,,,bmo,,,2018-06-30,2023-10-17
2018-01-31,JLFNF,26.63,23.14,bmo,,782571686.068344,2017-12-31,2023-05-17
2018-01-31,CRUZ.CN,-0.0036200000000000004,,bmo,,,2018-01-31,2023-05-17
2018-01-31,8025.T,-27.86,,bmo,5135689000.0,,2017-10-31,2023-10-17
2018-01-31,ERXCF,9.85,15.3,bmo,,,2018-06-30,2023-05-17
2018-01-31,AGNC,0.62,0.62,amc,405000000.0,560619047.6190476,2017-12-30,2023-09-29
2018-01-31,CDELF,-0.0066300000000000005,,bmo,,,2018-01-31,2023-10-12
2018-01-31,002870.KS,-32.29526,,bmo,36437485540.0,,2017-12-30,2023-05-17
2018-01-31,207940.KS,-153.0,37.33,bmo,166311375140.0,,2017-12-30,2023-05-17
2018-01-31,000540.KS,334.73,,bmo,997485000000.0,,2017-12-31,2023-10-16
2018-01-31,6373.T,68.31,,bmo,12134000000.0,,2017-10-31,2023-10-17
2018-01-31,EPR.OL,1.17,1.24,bmo,1535575000.0,,2017-12-31,2023-05-17
2018-01-31,7483.T,61.16,,bmo,23479000000.0,,2017-10-31,2023-10-17
2018-01-31,8133.T,47.03,,bmo,249077000000.0,,2017-10-31,2023-10-17
2018-01-31,9715.T,28.55,,bmo,70606000000.0,,2017-10-31,2023-10-17
2018-01-31,YMDAF,,,bmo,,,2018-06-30,2023-05-17
2018-01-31,BJ,0.51,,bmo,3555989000.0,,2018-01-31,2023-10-10
2018-01-31,6696.T,33.77,,bmo,542387000.0,,2018-01-31,2023-10-17
2018-01-31,SCTBF,2.04,2.26,bmo,,,2017-12-31,2023-05-17
2018-01-31,T9Z.DE,-0.21332,,bmo,283718000.0,,2018-01-31,2023-10-17
2018-01-31,9687.T,42.74,,bmo,,,2017-12-31,2023-06-02
2018-01-31,CGN.CN,-0.02494,,bmo,,,2018-01-31,2023-10-16
2018-01-31,THC.CN,-0.08436,,bmo,305448.0,,2018-01-31,2023-10-16
2018-01-31,THRM.V,-0.00079,,bmo,1584.0,,2018-01-31,2023-10-16
2018-01-31,12DA.DE,-0.6840700000000001,,bmo,21935000000.0,,2018-01-31,2023-10-16
2018-01-31,9508.T,6.39,,bmo,565378000000.0,,2017-10-31,2023-10-17
2018-01-31,6484.T,46.67,,bmo,5692608000.0,,2017-10-31,2023-10-17
2018-01-31,GTCH.CN,-0.00369,,bmo,,,2018-01-31,2023-10-16
2018-01-31,TONY.CN,-1.33132,,bmo,,,2018-01-31,2023-10-16
2018-01-31,REGRF,-0.031170000000000003,,bmo,,,2018-01-31,2023-10-12
2018-01-31,KYOCF,78.55,107.61,bmo,,80827371.10120943,2018-06-30,2023-05-17
2018-01-31,9882.T,72.36,,bmo,32520000000.0,,2017-10-31,2023-10-17
2018-01-31,7296.T,64.4,,bmo,44406000000.0,,2017-10-31,2023-10-17
2018-01-31,8206.KL,0.008180000000000002,,bmo,563591000.0,,2018-01-31,2023-10-10
2018-01-31,3417.T,32.18,,bmo,,,2018-06-30,2023-05-17
2018-01-31,MDP,1.1400000000000001,0.89,amc,417698000.0,326099122.80701756,2017-12-30,2023-05-17
2018-01-31,DNBBF,4.43,3.16,bmo,,,2017-12-31,2023-05-17
2018-01-31,URW.AX,,,bmo,,,2017-12-31,2023-05-17
2018-01-31,8585.T,2.42,,bmo,59577000000.0,,2017-10-31,2023-10-17
2018-01-31,2HP.DE,0.887,,bmo,7674000000.0,,2018-01-31,2023-05-17
2018-01-31,ICHMF,33.91,,bmo,,,2017-12-31,2023-05-17
2018-01-31,2206.T,52.32,82.05,bmo,84607000000.0,,2017-12-31,2023-10-16
2018-01-31,CVVUF,-0.014020000000000001,,bmo,,,2018-01-31,2023-10-17
2018-01-31,9115.T,26.12,,bmo,9985437000.0,,2017-10-31,2023-10-17
2018-01-31,6186.T,113.79,,bmo,3972361000.0,,2017-10-31,2023-10-17
2018-01-31,5726.T,10.0,,bmo,12370000000.0,,2017-10-31,2023-10-17
2018-01-31,9658.T,25.2,,bmo,6130746000.0,,2017-10-31,2023-10-17
2018-01-31,003550.KS,1691.0,1978.65,bmo,2376811000000.0,,2017-10-31,2023-05-17
2018-01-31,CSRFF,,,bmo,,,2017-12-31,2023-05-17
2018-01-31,9533.T,39.47,39.5,bmo,99845000000.0,,2017-10-31,2023-10-17
2018-01-31,6120.TW,0.08,0.15,bmo,6054988000.0,,2017-12-30,2023-05-17
2018-01-31,GWI2.DE,-0.04,,bmo,189755700.0,,2018-01-31,2023-10-16
